,0,precio,combustible,CV,km,lugar,año,link
54,                 Mercedes Clase GLE 350d 4Matic Aut.             ,42.200 €, Diesel, 258 cv,                 111.000 km             ,                  Madrid             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gle-gle-350d-4matic-aut-en-madrid.htm?id=6846805
55,                 Volkswagen  2.0TDI Kombi 4M             ,14.900 €, Diesel, 122 cv,                 150.700 km             ,                  Castellon             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-caddy-20tdi-kombi-4m-90kw-en-castellon.htm?id=6846765
56,                 Ford Focus  1.5 Ecoboost ST Line             ,23.500 €, Gasolina, 182 cv,                 30.209 km             ,                  Granada             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-15-ecoboost-st-line-182-en-granada.htm?id=6846715
57,                 Audi Q5  2.0TDI S line             ,32.000 €, Diesel, 163 cv,                 115.543 km             ,                  Pontevedra             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-q5-20tdi-s-line-quattro-ultra-s-tronic-120kw-en-pontevedra.htm?id=6846365
58,                 Hyundai Santa Fe  2.2CRDi Style F 7pl.             ,11.000 €, Diesel, 155 cv,                 153.000 km             ,                  Madrid             ,                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-santa+fe-22crdi-style-f-7pl-aut-en-madrid.htm?id=6846237
59,                 Bmw X3  sDrive 18d Essential             ,18.990 €, Diesel, 143 cv,                 98.000 km             ,"                  Palmas, Las             ",                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x3-sdrive-18d-essential-edition-en-palmas+las.htm?id=6846215
60,                 Mini Countryman Mini  John Cooper             ,31.900 €, Gasolina, 231 cv,                 104.000 km             ,                  Huelva             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-mini-countryman-mini--john-cooper-works-all4-aut-en-huelva.htm?id=6846011
61,                 Opel Mokka  X 1.4T Innovation 4x2             ,16.850 €, Gasolina, 140 cv,                 67.800 km             ,                  Valencia             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-14t-innovation-4x2-aut-en-valencia.htm?id=6845503
62,                 Nissan Qashqai  1.5dCi Acenta 4x2             ,8.300 €, Diesel, 110 cv,                 168.000 km             ,                  Madrid             ,                  2011             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-acenta-4x2-en-madrid.htm?id=6844715
63,                 Cupra Formentor  1.5 TSI 150 DSG             ,31.200 €, Gasolina, 150 cv,                 0 km             ,                  Madrid             ,                  2022             ,https://www.coches.com/km0/seminuevo-cupra-formentor-15-tsi-150-dsg-en-madrid.htm?id=6844649
64,                 Opel Astra  ST 1.6CDTi S/S             ,15.400 €, Diesel, 136 cv,                 56.000 km             ,                  Lleida             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-st-16cdti-ss-selective-pro-136-en-lleida.htm?id=6844505
65,                 Cupra Formentor  1.5 TSI 150             ,29.321 €, Gasolina, 150 cv,                 0 km             ,                  Madrid             ,                  2022             ,https://www.coches.com/km0/seminuevo-cupra-formentor-15-tsi-150-en-madrid.htm?id=6843703
66,                 Volkswagen  3.0TDI V6             ,6.999 €, Diesel, 225 cv,                 290.000 km             ,                  Sevilla             ,                  2006             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-touareg-30tdi-v6-en-sevilla.htm?id=6842370
67,                 Bmw X1  sDrive 18dA Business             ,24.390 €, Diesel, 150 cv,                 91.127 km             ,                  Madrid             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x1-sdrive-18da-business-en-madrid.htm?id=6840926
68,                 Nissan NV200  Furgón 1.5dCi             ,10.900 €, Diesel, 90 cv,                 124.000 km             ,                  Murcia             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-furgon-15dci-comfort-90-eu6-en-murcia.htm?id=6840121
69,                 Bmw X5  xDrive 40dA             ,46.995 €, Diesel, 313 cv,                 125.000 km             ,                  Murcia             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-xdrive-40da-en-murcia.htm?id=6840017
70,                 Volkswagen  2.0TDI Advance             ,21.190 €, Diesel, 150 cv,                 89.576 km             ,                  Zaragoza             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-passat-20tdi-advance-dsg6-110kw-en-zaragoza.htm?id=6836889
71,                 Nissan Qashqai  1.5dCi Acenta 4x2             ,18.890 €, Diesel, 110 cv,                 48.511 km             ,                  Zaragoza             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-acenta-4x2-en-zaragoza.htm?id=6836881
72,                 Renault Scénic Grand  1.5dCi Energy             ,14.490 €, Diesel, 110 cv,                 98.040 km             ,                  Zaragoza             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--15dci-energy-limited-7pl-en-zaragoza.htm?id=6836843
73,                 Cupra Ateca Cupra  2.0 TSI 300             ,36.995 €, Gasolina, 300 cv,                 23.000 km             ,                  Murcia             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-cupra-ateca-cupra--20-tsi-300-dsg-4drive-en-murcia.htm?id=6836837
74,                 Peugeot Partner  Furgón 1.6BlueHDI             ,8.500 €, Diesel, 75 cv,                 173.000 km             ,                  Murcia             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-furgon-16bluehdi-confortpack-l1-75-en-murcia.htm?id=6836779
75,                 Citroen Berlingo  Multispace 1.6HDi             ,7.500 €, Diesel, 75 cv,                 253.000 km             ,                  Murcia             ,                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-multispace-16hdi-tonic-75-en-murcia.htm?id=6836769
76,                 Citroen Berlingo  BlueHDi S&S Talla M             ,22.900 €, Diesel, 100 cv,                 17.000 km             ,"                  Palmas, Las             ",                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-bluehdi-s_s-talla-m-shine-100-en-palmas+las.htm?id=6835401
77,                 Bmw Serie 5 520dA xDrive             ,17.900 €, Diesel, 190 cv,                 246.732 km             ,                  Valencia             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-xdrive-en-valencia.htm?id=6832285
78,                 Bmw Serie 4 420d Gran Coupé             ,24.500 €, Diesel, 190 cv,                 147.290 km             ,                  Pontevedra             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+4-420d-gran-coupe-en-pontevedra.htm?id=6831711
79,                 Nissan Navara  2.3dCi Doble Cabina             ,27.700 €, Diesel, 161 cv,                 1 km             ,                  Asturias             ,                  2022             ,https://www.coches.com/km0/seminuevo-nissan-navara-23dci-doble-cabina-acenta-en-asturias.htm?id=6831687
80,Renault Clio,12.500 €, 1.2 Limited 55kW,  Gasolina,                              Pontevedra             ,                                  2018             ,                 20.616 km             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-12-limited-55kw-en-pontevedra.htm?id=6830805
81,Renault Mégane,14.990 €, S.T. 1.2 TCe Energy Zen 97kW,  Gasolina,                              Zaragoza             ,                                  2017             ,                 43.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-st-12-tce-energy-zen-97kw-en-zaragoza.htm?id=6829045
82,Bmw X5,35.900 €, sDrive 25dA,  Diesel,                              Madrid             ,                                  2018             ,                 90.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-sdrive-25da-en-madrid.htm?id=6828923
83,Peugeot Expert,21.900 €, Fg. Long 2.0BlueHDi S&S Pro 120,  Diesel,                              Madrid             ,                                  2018             ,                 93.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-expert-fg-long-20bluehdi-s_s-pro-120-en-madrid.htm?id=6823893
