,modelo,precio,combustible,CV,km,lugar,año,link
1041,Citroen C3 Aircro… BlueHDi S&S Live 100,12.690  ,  Diesel,Unknown,                 25.081               ,                              Toledo             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3+aircross-bluehdi-s_s-live-100-en-toledo.htm?id=6101444
1042,Bmw X2 xDrive 20dA,27.750  ,  Diesel,Unknown,                 78.033               ,                              Alicante             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x2-xdrive-20da-en-alicante.htm?id=6088006
1043,Fiat Tipo 1.0 Live,15.290  ,  Gasolina,Unknown,                 7.000               ,                              Castellon             ,                                  2021             ,https://www.coches.com/km0/seminuevo-fiat-tipo-10-live-en-castellon.htm?id=6059490
1044,Jeep Compass 1.6 Mjt Longitude FWD,27.390  ,  Diesel,Unknown,                 10               ,                              Castellon             ,                                  2021             ,https://www.coches.com/km0/seminuevo-jeep-compass-16-mjt-longitude-fwd-en-castellon.htm?id=6059480
1045,Volkswagen Passat 1.5 TSI ACT Executive 110kW,22.500  ,  Gasolina,Unknown,                 18.223               ,                              Leon             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-passat-15-tsi-act-executive-110kw-en-leon.htm?id=6058896
1046,Ford Fiesta 1.1 CTX,1.500  ,  Gasolina,Unknown,                 90.048               ,                              Madrid             ,                                  1992             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-fiesta-11-ctx-en-madrid.htm?id=6040118
1047,Volkswagen Sports… 1.5 TSI EVO Advance DSG7 110kW,9.900  ,  Gasolina,Unknown,                 182.000               ,                              Valencia             ,                                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-15-tsi-evo-advance-dsg7-110kw-en-valencia.htm?id=6019380
1048,Mercedes Clase EE Cabrio 400 4Matic 9G-Tronic,55.900  ,  Gasolina,Unknown,                 42.000               ,                              Ciudad Real             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-cabrio-400-4matic-9g-tronic-en-ciudad+real.htm?id=6001039
1049,Opel Mokka 1.2T S&S Edition,18.300  ,  Gasolina,Unknown,                 4               ,                              Alava             ,                                  2021             ,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-alava.htm?id=5999647
1050,Opel Corsa 1.2T XHL S-S GS-Line 100,13.799  ,  Gasolina,Unknown,                 6               ,                              Alava             ,                                  2021             ,https://www.coches.com/km0/seminuevo-opel-corsa-12t-xhl-s-s-gs-line-100-en-alava.htm?id=5985749
1051,Citroen C3 1.2 PureTech S&S Feel 83,9.590  ,  Gasolina,Unknown,                 24.900               ,                              Madrid             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-12-puretech-s_s-feel-83-en-madrid.htm?id=5972033
1052,Volkswagen Golf 1.0 TSI Edition 85kW,14.812  ,  Gasolina,Unknown,                 23.088               ,                              Valencia             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-10-tsi-edition-85kw-en-valencia.htm?id=5967409
1053,Volkswagen Arteon 2.0TDI Elegance DSG7 110kW,28.850  ,  Diesel,Unknown,                 43.500               ,                              Huelva             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-arteon-20tdi-elegance-dsg7-110kw-en-huelva.htm?id=5962069
1054,Kia Stonic 1.0 T-GDi MHEV iMT Concept 100,15.100  ,  Gasolina,Unknown,                 0               ,                              Burgos             ,                                  2022             ,https://www.coches.com/km0/seminuevo-kia-stonic-10-t-gdi-mhev-imt-concept-100-en-burgos.htm?id=5961167
1055,Kia Rio 1.2 DPi Concept 84,11.500  ,  Gasolina,Unknown,                 5               ,                              Burgos             ,                                  2022             ,https://www.coches.com/km0/seminuevo-kia-rio-12-dpi-concept-84-en-burgos.htm?id=5961089
1056,Kia Sorento 1.6 T-GDi PHEV Drive 4x4,39.900  ,  Híbrido,Unknown,                 0               ,                              Burgos             ,                                  2022             ,https://www.coches.com/km0/seminuevo-kia-sorento-16-t-gdi-phev-drive-4x4-en-burgos.htm?id=5961027
1057,Opel Astra ST 1.2T S-S GS Line 130,13.999  ,  Gasolina,Unknown,                 19.058               ,                              Alava             ,                                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-st-12t-s-s-gs-line-130-en-alava.htm?id=5959547
1058,Fiat Tipo 1.0 City Cross,15.200  ,  Gasolina,Unknown,                 3.100               ,                              Ourense             ,                                  2021             ,https://www.coches.com/km0/seminuevo-fiat-tipo-10-city-cross-en-ourense.htm?id=5956831
1059,Opel Mokka 1.2T S&S Edition,18.300  ,  Gasolina,Unknown,                 3               ,                              Alava             ,                                  2021             ,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-alava.htm?id=5943039
1060,Bmw Serie 3335i Cabrio Aut.,16.499  ,  Gasolina,Unknown,                 199.000               ,                              Barcelona             ,                                  2009             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-335i-cabrio-aut-en-barcelona.htm?id=5926605
1061,Opel Mokka 1.2T S&S Edition,18.300  ,  Gasolina,Unknown,                 5               ,                              Alava             ,                                  2021             ,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-edition-en-alava.htm?id=5924895
1062,Dfsk Serie K Pick Up K01He,19.950  ,  Eléctrico,Unknown,                 100               ,                              Sevilla             ,                                  2020             ,https://www.coches.com/km0/seminuevo-dfsk-serie+k-pick-up-k01he-en-sevilla.htm?id=5884921
1063,Opel Corsa 1.2T XHL S-S GS-Line 100,13.799  ,  Gasolina,Unknown,                 5               ,                              Alava             ,                                  2021             ,https://www.coches.com/km0/seminuevo-opel-corsa-12t-xhl-s-s-gs-line-100-en-alava.htm?id=5874835
1064,Volkswagen Golf Cabrio 1.6TDI CR BMT 105,9.999  ,  Diesel,Unknown,                 115.000               ,                              Alicante             ,                                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-cabrio-16tdi-cr-bmt-105-en-alicante.htm?id=5869393
1065,Opel Corsa 1.2T XHL S-S GS-Line 100,13.799  ,  Gasolina,Unknown,                 2               ,                              Alava             ,                                  2021             ,https://www.coches.com/km0/seminuevo-opel-corsa-12t-xhl-s-s-gs-line-100-en-alava.htm?id=5862461
1066,Opel Corsa 1.2T XHL S-S Edition 100,13.250  ,  Gasolina,Unknown,                 4               ,                              Alava             ,                                  2021             ,https://www.coches.com/km0/seminuevo-opel-corsa-12t-xhl-s-s-edition-100-en-alava.htm?id=5862449
1067,Land Rover Discov… 2.0eD4 Pure 4x2 150,17.769  ,  Diesel,Unknown,                 126.000               ,                              Lleida             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20ed4-pure-4x2-150-en-lleida.htm?id=5862235
1068,Opel Corsa 1.2T XHL S-S Edition 100,13.250  ,  Gasolina,Unknown,                 3               ,                              Alava             ,                                  2021             ,https://www.coches.com/km0/seminuevo-opel-corsa-12t-xhl-s-s-edition-100-en-alava.htm?id=5827867
1069,Renault Mégane 1.3 TCe GPF Business 103kW,13.900  ,  Gasolina,Unknown,                 52.680               ,                              Madrid             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-13-tce-gpf-business-103kw-en-madrid.htm?id=5826503
1070,Opel Crossland 1.2 S&S Business Elegance 130,18.199  ,  Gasolina,Unknown,                 5               ,                              Alava             ,                                  2021             ,https://www.coches.com/km0/seminuevo-opel-crossland-12-s_s-business-elegance-130-en-alava.htm?id=5820987
1071,Mercedes Clase GLAGLA 200d 8G-DCT,39.400  ,  Diesel,Unknown,                 0               ,                              Madrid             ,                                  2021             ,https://www.coches.com/km0/seminuevo-mercedes-clase+gla-gla-200d-8g-dct-en-madrid.htm?id=5766417
1072,Bmw Serie 5550iA,21.499  ,  Gasolina,Unknown,                 154.400               ,                              Lugo             ,                                  2010             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-550ia-en-lugo.htm?id=5729213
1073,Volkswagen Multiv… 2.0Bi-TDI Comfortline 4M 180,31.900  ,  Diesel,Unknown,                 150.000               ,                              Huesca             ,                                  2010             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20bi-tdi-comfortline-4m-180-en-huesca.htm?id=5675751
