,index,modelo,precio,combustible,CV,km,lugar,año,link
2947,1967,                 Volkswagen Polo  1.0 BMT Advance             ,9.600 €, Gasolina, 75 cv,                 78.003 km             ,                  Madrid             ,                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-polo-10-bmt-advance-55kw-en-madrid.htm?id=6684222
2948,1968,                 Porsche 911  Turbo Cabriolet PDK             ,135.990 €, Gasolina, 540 cv,                 28.000 km             ,                  Madrid             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-porsche-911-turbo-cabriolet-pdk-en-madrid.htm?id=6682528
2949,1969,                 Mercedes Clase C Coupé 300             ,32.664 €, Gasolina, 245 cv,                 67.489 km             ,                  Madrid             ,                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-coupe-300-9g-tronic-en-madrid.htm?id=6682028
2950,1970,                 Bmw Serie 3 330i             ,9.950 €, Gasolina, 272 cv,                 141.200 km             ,                  Madrid             ,                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-330i-en-madrid.htm?id=6681704
2951,1971,                 Audi A3  Sedán 35 TFSI S line             ,30.900 €, Gasolina, 150 cv,                 3.185 km             ,                  Granada             ,                  2020             ,https://www.coches.com/km0/seminuevo-audi-a3-sedan-35-tfsi-s-line-en-granada.htm?id=6677576
2952,1972,                 Mazda CX-30  2.0 Skyactiv-X Zenith             ,24.500 €, Gasolina, 180 cv,                 15.420 km             ,                  Sevilla             ,                  2020             ,https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-30-20-skyactiv-x-zenith-2wd-132kw-en-sevilla.htm?id=6675492
2953,1973,                 Kia Ceed  1.0 T-GDI             ,14.400 €, Gasolina, 100 cv,                 18 km             ,                  Zaragoza             ,                  2022             ,https://www.coches.com/km0/seminuevo-kia-ceed-10-t-gdi-eco-dynamics-concept-100-en-zaragoza.htm?id=6674550
2954,1974,                 Mitsubishi  iO 1.8 GDI Kaiteki             ,6.100 €, Gasolina, 120 cv,                 197.000 km             ,                  Girona             ,                  2000             ,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-io-18-gdi-kaiteki-en-girona.htm?id=6674548
2955,1975,                 Toyota Prius  Plug-in Híbrido 1.8             ,28.900 €, Híbrido, 122 cv,                 6.000 km             ,                  Barcelona             ,                  2021             ,https://www.coches.com/km0/seminuevo-toyota-prius-plug-in-hibrido-18-advance-en-barcelona.htm?id=6673828
2956,1976,                 Bmw Serie 7 730dA             ,7.999 €, Diesel, 231 cv,                 34.806 km             ,                  Badajoz             ,                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+7-730da-en-badajoz.htm?id=6671004
2957,1977,                 Kia Sorento  3.5 V6 EX Aut.             ,6.600 €, Gasolina, 195 cv,                 171.302 km             ,                  Madrid             ,                  2005             ,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-35-v6-ex-aut-en-madrid.htm?id=6669552
2958,1978,                 Renault Mégane  C.C. 1.2 TCE Energy             ,12.804 €, Gasolina, 132 cv,                 81.576 km             ,                  Madrid             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-cc-12-tce-energy-dynamique-en-madrid.htm?id=6669446
2959,1979,                 Peugeot 3008  1.2 PureTech S&S             ,11.402 €, Gasolina, 130 cv,                 52.592 km             ,                  Madrid             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-3008-12-puretech-s_s-allure-130-en-madrid.htm?id=6669426
2960,1980,                 Seat León  1.8 TSI S&S 4Drive             ,16.450 €, Gasolina, 180 cv,                 156.667 km             ,                  Madrid             ,                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon+x-perience-18-tsi-s_s-4drive-dsg7-en-madrid.htm?id=6669148
2961,1981,                 Bmw Z4  3.0si             ,25.900 €, Gasolina, 265 cv,                 73.000 km             ,                  Valencia             ,                  2009             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z4-30si-en-valencia.htm?id=6669130
2962,1982,                 Rover 45  1.6 Classic             ,2.300 €, Gasolina, 109 cv,                 66.550 km             ,                  Madrid             ,                  2004             ,https://www.coches.com/coches-segunda-mano/ocasion-rover-45-16-classic-en-madrid.htm?id=6668970
2963,1983,                 Bmw Serie 1 118i             ,22.250 €, Gasolina, 140 cv,                 27.762 km             ,                  Illes Balears             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-118i-en-illes+balears.htm?id=6668366
2964,1984,                 Citroen C4  1.5 BlueHDI S&S Feel             ,20.900 €, Diesel, 130 cv,                 12.236 km             ,                  Barcelona             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-15-bluehdi-s_s-feel-pack-eat8-130-en-barcelona.htm?id=6667704
2965,1985,                 Opel Crossland  1.2 S&S GS Line 130             ,15.900 €, Gasolina, 130 cv,                 16.598 km             ,                  Madrid             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-crossland-12-s_s-gs-line-130-en-madrid.htm?id=6667288
2966,1986,                 Opel Crossland  1.2 S&S GS Line 130             ,15.900 €, Gasolina, 130 cv,                 16.598 km             ,                  Madrid             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-crossland-12-s_s-gs-line-130-en-madrid.htm?id=6667210
2967,1987,                 Skoda Fabia  Combi 1.0 TSI             ,13.200 €, Gasolina, 95 cv,                 16.276 km             ,                  Zaragoza             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-skoda-fabia-combi-10-tsi-ambition-70kw-en-zaragoza.htm?id=6666708
2968,1988,                 Ford B-Max  1.6TDCi Titanium 95             ,8.600 €, Diesel, 95 cv,                 103.487 km             ,                  Madrid             ,                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-16tdci-titanium-95-en-madrid.htm?id=6663110
2969,1989,                 Infiniti Q60  Coupé 2.0 Sport             ,29.000 €, Gasolina, 211 cv,                 45.013 km             ,                  Madrid             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-q60-coupe-20-sport-en-madrid.htm?id=6662812
2970,1990,                 Renault Clio  TCe GLP Intens             ,11.570 €, Gasolina, 100 cv,                 117.070 km             ,                  Valencia             ,                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-glp-intens-74kw-en-valencia.htm?id=6661498
2971,1991,                 Seat Ateca  2.0TDI CR S&S Style             ,23.490 €, Diesel, 150 cv,                 28.400 km             ,                  Cadiz             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-20tdi-cr-s_s-style-150-en-cadiz.htm?id=6661102
2972,1992,                 Cupra Formentor  1.5 TSI 150             ,26.450 €, Gasolina, 150 cv,                 11.700 km             ,                  Cadiz             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-cupra-formentor-15-tsi-150-en-cadiz.htm?id=6660922
2973,1993,                 Nissan Navara  2.5dCi FE King Cb.             ,15.995 €, Diesel, 144 cv,                 109.800 km             ,"                  Palmas, Las             ",                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-25dci-fe-king-cb-4x4-en-palmas+las.htm?id=6660838
2974,1994,                 Jeep Compass  1.3 PHEV S EAWD             ,35.090 €, Híbrido, 240 cv,                 0 km             ,                  Sevilla             ,                  2022             ,https://www.coches.com/km0/seminuevo-jeep-compass-13-phev-s-eawd-aut-240-en-sevilla.htm?id=6660672
2975,1995,                 Jeep Compass  1.3 PHEV Trailhawk             ,35.090 €, Híbrido, 240 cv,                 0 km             ,                  Sevilla             ,                  2022             ,https://www.coches.com/km0/seminuevo-jeep-compass-13-phev-trailhawk-eawd-aut-240-en-sevilla.htm?id=6660670
2976,1996,                 Seat León  1.5 TGI GNC S&S             ,12.590 €, Gasolina, 130 cv,                 98.336 km             ,                  Madrid             ,                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-15-tgi-gnc-s_s-style-130-en-madrid.htm?id=6660386
2977,1997,                 Fiat Línea  1.3Mjt Easy             ,7.099 €, Diesel, 95 cv,                 84.373 km             ,                  Madrid             ,                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-fiat-linea-13mjt-easy-en-madrid.htm?id=6660026
2978,1998,                 Kia Ceed  1.0 T-GDI             ,15.420 €, Gasolina, 120 cv,                 8.947 km             ,                  Toledo             ,                  2021             ,https://www.coches.com/km0/seminuevo-kia-ceed-10-t-gdi-eco-dynamics-drive-120-en-toledo.htm?id=6657708
2979,1999,                 Kia Ceed  1.0 T-GDI             ,15.420 €, Gasolina, 120 cv,                 8.325 km             ,                  Toledo             ,                  2021             ,https://www.coches.com/km0/seminuevo-kia-ceed-10-t-gdi-eco-dynamics-drive-120-en-toledo.htm?id=6657702
2980,2000,                 Skoda Fabia  Combi 1.0 TSI             ,13.500 €, Gasolina, 95 cv,                 10.575 km             ,                  Zaragoza             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-skoda-fabia-combi-10-tsi-ambition-70kw-en-zaragoza.htm?id=6657554
2981,2001,                 Citroen Berlingo  Van PureTech S&S             ,18.990 €, Gasolina, 110 cv,                 3 km             ,                  Avila             ,                  2022             ,https://www.coches.com/km0/seminuevo-citroen-berlingo-van-puretech-s_s-talla-m-control-en-avila.htm?id=6657426
