,index,modelo,precio,combustible,CV,km,lugar,año,link
28,88,Bmw Serie 3320i Cabrio,17.900 €,  Gasolina,Unknown,                 134.000 km             ,                              Madrid             ,                                  2012             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-320i-cabrio-en-madrid.htm?id=6828557
29,89,Opel Astra GTC 2.0 T S/S OPC,18.900 €,  Gasolina,Unknown,                 104.000 km             ,                              Madrid             ,                                  2013             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-gtc-20-t-ss-opc-en-madrid.htm?id=6826139
30,90,Peugeot 508 SW 2.0HDI Business Line 140,11.950 €,  Diesel,Unknown,                 129.000 km             ,                              Madrid             ,                                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-508-sw-20hdi-business-line-140-en-madrid.htm?id=6823657
31,91,Peugeot 208 1.5 BlueHDi S&S Active Pack 100,17.500 €,  Diesel,Unknown,                 10 km             ,                              Madrid             ,                                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-208-15-bluehdi-s_s-active-pack-100-en-madrid.htm?id=6823033
32,92,Peugeot 208 1.5 BlueHDi S&S Active Pack 100,17.995 €,  Diesel,Unknown,                 0 km             ,                              Valencia             ,                                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-208-15-bluehdi-s_s-active-pack-100-en-valencia.htm?id=6822601
33,93,Peugeot 208 1.2 Puretech S&S Active Pack 75,14.995 €,  Gasolina,Unknown,                 0 km             ,                              Valencia             ,                                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-208-12-puretech-s_s-active-pack-75-en-valencia.htm?id=6822591
34,94,Ford Focus Sportbreak 1.0 Ecoboost ST Line,18.500 €,  Gasolina,Unknown,                 40.098 km             ,                              Lleida             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-sportbreak-10-ecoboost-st-line-en-lleida.htm?id=6821469
35,95,Bmw Serie 1118d,5.400 €,  Diesel,Unknown,                 182.000 km             ,                              Murcia             ,                                  2006             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-118d-en-murcia.htm?id=6820821
36,96,Nissan Juke 1.6i Tekna Premium Piel 18´´,13.500 €,  Gasolina,Unknown,                 27.000 km             ,                              Tarragona             ,                                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-16i-tekna-premium-piel-18-en-tarragona.htm?id=6820459
37,97,Mitsubishi ASX 180DI-D Motion,10.990 €,  Diesel,Unknown,                 128.000 km             ,                              Tenerife             ,                                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-asx-180di-d-motion-en-tenerife.htm?id=6820191
38,98,Peugeot 508 1.2 PureTech S&S Active Pack EAT8 130,28.453 €,  Gasolina,Unknown,                 3 km             ,                              Madrid             ,                                  2022             ,https://www.coches.com/km0/seminuevo-peugeot-508-12-puretech-s_s-active-pack-eat8-130-en-madrid.htm?id=6819967
